full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Lennon,35,545554800,1987/04/16,Premier League,2018/2019,Midfielder,Burnley,1217,487,730,England,16,7,9,1,1,0,1,1,0,0,0,4,2,2,20,8,12,1,0,0.15,0.07,0.07,0.18,0,1217,1.48,61,76,1217,1217,0.07,196,187,-1,10
Aaron Mooy,32,653382000,1990/09/15,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,15,14,3,1,2,1,0,1,1,0,4,3,1,46,20,26,4,0,0.15,0.04,0.12,0.08,0.16,776,1.78,51,80,582,2327,0.15,144,233,-1,3
Aaron Ramsey,31,662198400,1990/12/26,Premier League,2018/2019,Midfielder,Arsenal,1327,689,638,Wales,28,14,14,4,2,2,6,5,1,0,0,7,6,1,12,2,10,0,0,0.68,0.41,0.27,0.26,0.28,332,0.81,111,47,0,221,0,69,8,-1,5
Adam Smith,31,672908400,1991/04/29,Premier League,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1,0,0,9,5,4,30,10,20,6,1,0.09,0.04,0.04,0.09,0,2073,1.3,69,83,296,2073,0.3,227,228,85,10
Alexandre Lacazette,31,675414000,1991/05/28,Premier League,2018/2019,Forward,Arsenal,2503,1403,1100,France,35,19,16,13,9,4,8,4,4,0,0,7,7,0,28,10,18,2,0,0.76,0.29,0.47,0.58,0.33,193,1.01,89,72,1252,313,0.07,21,25,-1,2
Alexis Sanchez,33,598521600,1988/12/19,Premier League,2018/2019,Forward,Manchester United,877,387,490,Chile,20,10,10,1,1,0,3,0,3,0,0,6,2,4,8,4,4,3,0,0.41,0.31,0.1,0.23,0,877,0.82,110,44,292,292,0.31,166,17,-1,10
Ander Herrera,33,619081200,1989/08/14,Premier League,2018/2019,Midfielder,Manchester United,1404,617,787,Spain,22,10,12,2,0,2,3,3,0,0,0,6,1,5,17,9,8,4,0,0.32,0.19,0.13,0,0.23,702,1.09,83,64,351,468,0.26,134,68,-1,7
Andre Gray,31,677919600,1991/06/26,Premier League,2018/2019,Forward,Watford,1358,809,549,England,29,15,14,7,5,2,2,2,0,0,0,5,3,2,23,16,7,2,0,0.6,0.13,0.46,0.56,0.33,194,1.52,59,47,679,679,0.13,25,109,-1,3
André Schürrle,31,657878400,1990/11/06,Premier League,2018/2019,Midfielder,Fulham,1650,829,821,Germany,24,12,12,6,3,3,0,0,0,0,0,1,0,1,42,20,22,2,0,0.33,0,0.33,0.33,0.33,275,2.29,39,69,825,0,0.11,54,417,-1,2
Andriy Yarmolenko,33,625129200,1989/10/23,Premier League,2018/2019,Forward,West Ham United,459,269,190,Ukraine,9,5,4,2,0,2,0,0,0,0,0,1,1,0,4,1,3,2,0,0.39,0,0.39,0,0.95,230,0.78,115,51,230,0,0.39,36,361,-1,7
Andros Townsend,31,679647600,1991/07/16,Premier League,2018/2019,Midfielder,Crystal Palace,3018,1571,1447,England,38,19,19,6,2,4,4,2,2,0,0,12,7,5,44,20,24,1,0,0.3,0.12,0.18,0.11,0.25,503,1.31,69,79,3018,755,0.03,102,127,-1,3
Angelo Ogbonna,34,580374000,1988/05/23,Premier League,2018/2019,Defender,West Ham United,1870,956,914,Italy,24,12,12,1,1,0,1,1,0,0,0,3,2,1,32,13,19,2,0,0.1,0.05,0.05,0.09,0,1870,1.54,58,78,935,1870,0.1,226,207,124,13
Aron Einar Gunnarsson,33,609231600,1989/04/22,Premier League,2018/2019,Midfielder,Cardiff City,2274,1240,1034,Iceland,28,14,14,1,1,0,1,1,0,0,0,8,4,4,37,20,17,5,0,0.08,0.04,0.04,0.07,0,2274,1.46,61,81,455,2274,0.2,232,234,-1,9
Ashley Barnes,32,625737600,1989/10/30,Premier League,2018/2019,Forward,Burnley,2400,1307,1093,England,37,19,18,12,6,6,2,1,1,2,0,8,5,3,34,16,18,8,0,0.53,0.08,0.45,0.41,0.49,200,1.28,71,65,300,1200,0.3,27,172,-1,1
Ashley Westwood,32,638956800,1990/04/01,Premier League,2018/2019,Midfielder,Burnley,2822,1530,1292,England,34,18,16,2,0,2,7,2,5,0,0,7,5,2,44,22,22,5,0,0.29,0.22,0.06,0,0.14,1411,1.4,64,83,564,403,0.16,212,55,-1,8
Ashley Young,37,489740400,1985/07/09,Premier League,2018/2019,Midfielder,Manchester United,2568,1207,1361,England,30,14,16,2,1,1,2,2,0,0,0,4,2,2,41,16,25,10,1,0.14,0.07,0.07,0.07,0.07,1284,1.44,63,86,257,1284,0.35,195,181,-1,9
Beram Kayal,34,578559600,1988/05/02,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,934,494,440,Israel,18,9,9,1,0,1,1,1,0,0,0,5,3,2,15,8,7,4,0,0.19,0.1,0.1,0,0.2,934,1.45,62,52,234,934,0.39,163,146,-1,8
Cedric Soares,31,683622000,1991/08/31,Premier League,2018/2019,Defender,Southampton,1494,651,843,Portugal,18,8,10,1,1,0,2,0,2,0,0,5,2,3,26,7,19,4,0,0.18,0.12,0.06,0.14,0,1494,1.57,57,83,374,747,0.24,204,124,127,15
Cenk Tosun,31,676278000,1991/06/07,Premier League,2018/2019,Forward,Everton,1050,536,514,Turkey,25,13,12,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,74,37,-1,6
Cesar Azpilicueta,33,620290800,1989/08/28,Premier League,2018/2019,Defender,Chelsea,3403,1693,1710,Spain,38,19,19,1,0,1,5,3,2,0,0,16,10,6,38,12,26,4,0,0.16,0.13,0.03,0,0.05,3403,1,90,90,851,681,0.11,260,116,33,14
Charlie Austin,33,615625200,1989/07/05,Premier League,2018/2019,Forward,Southampton,980,454,526,England,25,13,12,2,1,1,2,1,1,0,1,6,3,3,14,6,8,1,0,0.37,0.18,0.18,0.2,0.17,490,1.29,70,39,980,490,0.09,105,73,-1,8
Charlie Daniels,36,526460400,1986/09/07,Premier League,2018/2019,Defender,AFC Bournemouth,1583,803,780,England,21,11,10,1,1,0,0,0,0,0,0,6,4,2,32,14,18,4,0,0.06,0,0.06,0.11,0,1583,1.82,49,75,396,0,0.23,208,254,152,12
Chris Smalling,32,627724800,1989/11/22,Premier League,2018/2019,Defender,Manchester United,2128,1138,990,England,24,13,11,1,0,1,0,0,0,0,0,4,2,2,34,16,18,1,0,0.04,0,0.04,0,0.09,2128,1.44,63,89,2128,0,0.04,246,294,106,15
Christian Benteke,31,660211200,1990/12/03,Premier League,2018/2019,Forward,Crystal Palace,813,526,287,Belgium,16,10,6,1,0,1,1,0,1,0,0,5,3,2,10,6,4,1,0,0.22,0.11,0.11,0,0.31,813,1.11,81,51,813,813,0.11,149,142,-1,10
Christopher Schindler,32,641372400,1990/04/29,Premier League,2018/2019,Defender,Huddersfield Town,3262,1642,1620,Germany,37,19,18,1,0,1,0,0,0,0,0,5,3,2,69,30,39,6,1,0.03,0,0.03,0,0.06,3262,1.9,47,88,544,0,0.17,252,345,157,9
Ciaran Clark,33,622796400,1989/09/26,Premier League,2018/2019,Defender,Newcastle United,857,416,441,Republic of Ireland,11,6,5,3,1,2,0,0,0,0,0,2,0,2,14,9,5,1,0,0.32,0,0.32,0.22,0.41,286,1.47,61,78,857,0,0.11,56,315,113,4
Craig Cathcart,33,602755200,1989/02/06,Premier League,2018/2019,Defender,Watford,3099,1561,1538,Northern Ireland,36,18,18,3,1,2,0,0,0,0,0,6,3,3,52,28,24,2,0,0.09,0,0.09,0.06,0.12,1033,1.51,60,86,1550,0,0.06,177,400,119,6
Dale Stephens,33,613638000,1989/06/12,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,1191,1296,England,30,14,16,1,0,1,1,0,1,0,0,5,3,2,43,18,25,7,1,0.07,0.04,0.04,0,0.07,2487,1.56,58,83,311,2487,0.29,247,224,-1,9
Dan Gosling,32,633859200,1990/02/01,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,911,826,England,25,13,12,2,0,2,1,0,1,0,0,7,4,3,31,14,17,8,0,0.16,0.05,0.1,0,0.22,869,1.61,56,69,217,1737,0.41,158,206,-1,8
Daniel Sturridge,33,620636400,1989/09/01,Premier League,2018/2019,Forward,Liverpool,496,152,344,England,18,9,9,2,1,1,1,1,0,0,0,10,7,3,3,0,3,1,0,0.54,0.18,0.36,0.59,0.26,248,0.54,165,28,496,496,0.18,48,79,-1,10
Danilo,31,679561200,1991/07/15,Premier League,2018/2019,Defender,Manchester City,806,450,356,Brazil,11,5,6,1,0,1,0,0,0,0,0,5,3,2,7,2,5,1,0,0.11,0,0.11,0,0.25,806,0.78,115,73,806,0,0.11,151,318,18,13
Danny Ward,31,660729600,1990/12/09,Premier League,2018/2019,Forward,Cardiff City,440,246,194,England,14,6,8,1,1,0,0,0,0,0,0,2,0,2,11,8,3,0,0,0.2,0,0.2,0.37,0,440,2.25,40,31,0,0,0,94,382,-1,10
Danny Welbeck,31,659606400,1990/11/26,Premier League,2018/2019,Forward,Arsenal,147,47,100,England,8,4,4,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,0,1.22,0.61,0.61,1.91,0,147,1.22,74,18,0,147,0,-1,-1,-1,13
David Junior Hoilett,32,644569200,1990/06/05,Premier League,2018/2019,Forward,Cardiff City,2142,1008,1134,Canada,32,17,15,3,2,1,1,0,1,0,0,9,5,4,42,20,22,4,0,0.17,0.04,0.13,0.18,0.08,714,1.76,51,67,536,2142,0.17,137,220,-1,7
David Luiz,35,546073200,1987/04/22,Premier League,2018/2019,Defender,Chelsea,3239,1709,1530,Brazil,36,19,17,3,3,0,2,1,1,0,0,16,10,6,35,12,23,3,0,0.14,0.06,0.08,0.16,0,1080,0.97,93,90,1080,1620,0.08,186,198,27,9
David Silva,36,505555200,1986/01/08,Premier League,2018/2019,Midfielder,Manchester City,2411,1088,1323,Spain,33,16,17,6,4,2,8,3,5,0,0,17,8,9,14,7,7,3,0,0.52,0.3,0.22,0.33,0.14,402,0.52,172,73,804,301,0.11,88,22,-1,7
Davy Pröpper,31,683794800,1991/09/02,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551,1371,1180,Netherlands,30,16,14,1,0,1,1,0,1,0,0,5,4,1,44,19,25,2,0,0.07,0.04,0.04,0,0.08,2551,1.55,58,85,1276,2551,0.07,241,226,-1,10
Dejan Lovren,33,615625200,1989/07/05,Premier League,2018/2019,Defender,Liverpool,985,540,445,Croatia,13,7,6,1,1,0,0,0,0,0,0,6,3,3,7,3,4,1,0,0.09,0,0.09,0.17,0,985,0.64,141,76,985,0,0.09,173,324,15,12
Eden Hazard,31,663235200,1991/01/07,Premier League,2018/2019,Midfielder,Chelsea,2926,1527,1399,Belgium,37,19,18,16,11,5,15,10,5,4,0,15,10,5,34,9,25,2,0,0.95,0.46,0.49,0.65,0.32,183,1.05,86,79,1463,195,0.06,18,5,-1,1
Etienne Capoue,34,584607600,1988/07/11,Premier League,2018/2019,Midfielder,Watford,2947,1518,1429,France,33,17,16,1,0,1,3,2,1,0,0,7,4,3,47,24,23,15,1,0.12,0.09,0.03,0,0.06,2947,1.44,63,89,184,982,0.49,253,153,-1,9
Fabián Cornelio Balbuena González,31,682930800,1991/08/23,Premier League,2018/2019,Defender,West Ham United,2014,934,1080,Paraguay,23,11,12,1,0,1,0,0,0,0,0,5,2,3,27,13,14,2,0,0.04,0,0.04,0,0.08,2014,1.21,75,88,1007,0,0.09,231,356,66,10
Fernando Llorente Torres,37,478252800,1985/02/26,Premier League,2018/2019,Forward,Tottenham Hotspur,683,508,175,Spain,20,11,9,1,1,0,4,4,0,0,0,7,5,2,8,5,3,2,0,0.66,0.53,0.13,0.18,0,683,1.05,85,34,342,171,0.26,133,2,-1,8
Fernando Luiz Rosa,37,484038000,1985/05/04,Premier League,2018/2019,Midfielder,Manchester City,2381,1286,1095,Brazil,29,15,14,1,1,0,3,3,0,0,0,16,7,9,15,8,7,5,0,0.15,0.11,0.04,0.07,0,2381,0.57,159,82,476,794,0.19,228,132,-1,15
Floyd Ayité,33,598176000,1988/12/15,Premier League,2018/2019,Midfielder,Fulham,465,296,169,Togo,16,7,9,1,0,1,0,0,0,0,0,3,1,2,13,7,6,0,0,0.19,0,0.19,0,0.53,465,2.52,36,29,0,0,0,101,268,-1,9
Francisco Femenía Far,31,665481600,1991/02/02,Premier League,2018/2019,Midfielder,Watford,2045,1011,1034,Spain,29,14,15,1,1,0,1,1,0,0,0,5,3,2,38,21,17,1,0,0.09,0.04,0.04,0.09,0,2045,1.67,54,71,2045,2045,0.04,240,216,-1,12
Georginio Wijnaldum,31,658310400,1990/11/11,Premier League,2018/2019,Midfielder,Liverpool,2735,1413,1322,Netherlands,35,18,17,3,1,2,0,0,0,0,0,21,12,9,15,6,9,3,0,0.1,0,0.1,0.06,0.14,912,0.49,182,78,912,0,0.1,164,416,-1,8
Glenn Murray,39,433321200,1983/09/25,Premier League,2018/2019,Forward,Brighton & Hove Albion,2513,1383,1130,England,38,19,19,13,8,5,1,1,0,4,0,7,5,2,44,22,22,5,0,0.5,0.04,0.47,0.52,0.4,193,1.58,57,66,503,2513,0.18,24,227,-1,1
Gonzalo Higuain,34,566121600,1987/12/10,Premier League,2018/2019,Forward,Chelsea,1092,496,596,Argentina,14,6,8,5,4,1,0,0,0,0,0,5,4,1,15,3,12,0,0,0.41,0,0.41,0.73,0.15,218,1.24,73,78,0,0,0,33,306,-1,5
Gylfi Sigurdsson,33,621241200,1989/09/08,Premier League,2018/2019,Midfielder,Everton,3134,1602,1532,Iceland,38,19,19,13,7,6,6,2,4,2,3,14,9,5,40,19,21,3,0,0.55,0.17,0.37,0.39,0.35,241,1.15,78,82,1045,522,0.09,43,86,-1,2
Henrikh Mkhitaryan,33,601372800,1989/01/21,Premier League,2018/2019,Midfielder,Arsenal,1643,650,993,Armenia,25,11,14,6,3,3,4,3,1,0,0,4,3,1,25,9,16,1,0,0.55,0.22,0.33,0.42,0.27,274,1.37,66,66,1643,411,0.05,53,56,-1,3
İlkay Gündoğan,32,656751600,1990/10/24,Premier League,2018/2019,Midfielder,Manchester City,2135,985,1150,Germany,31,15,16,6,4,2,3,0,3,0,0,15,6,9,15,8,7,3,0,0.38,0.13,0.25,0.37,0.16,356,0.63,142,69,712,712,0.13,78,120,-1,8
Jack Cork,33,614761200,1989/06/25,Premier League,2018/2019,Midfielder,Burnley,3313,1693,1620,England,37,19,18,1,1,0,2,1,1,0,0,8,5,3,54,27,27,6,0,0.08,0.05,0.03,0.05,0,3313,1.47,61,90,552,1657,0.16,249,204,-1,11
James McArthur,35,560588400,1987/10/07,Premier League,2018/2019,Midfielder,Crystal Palace,3071,1506,1565,Scotland,38,19,19,3,1,2,6,1,5,0,0,12,7,5,44,19,25,7,0,0.26,0.18,0.09,0.06,0.12,1024,1.29,70,81,439,512,0.21,179,74,-1,7
James Milner,36,505209600,1986/01/04,Premier League,2018/2019,Midfielder,Liverpool,1785,646,1139,England,31,12,19,5,0,5,4,2,2,3,0,18,9,9,11,4,7,7,1,0.45,0.2,0.25,0,0.4,357,0.55,162,58,255,446,0.35,81,65,-1,5
James Tomkins,33,607161600,1989/03/29,Premier League,2018/2019,Defender,Crystal Palace,2563,1140,1423,England,29,13,16,1,0,1,1,0,1,0,0,10,5,5,34,12,22,6,0,0.07,0.04,0.04,0,0.06,2563,1.19,75,88,427,2563,0.21,235,215,63,9
Jamie Vardy,35,537350400,1987/01/11,Premier League,2018/2019,Forward,Leicester City,2735,1418,1317,England,34,17,17,18,8,10,4,3,1,4,1,10,6,4,33,13,20,4,1,0.72,0.13,0.59,0.51,0.68,152,1.09,83,80,547,684,0.16,9,118,-1,1
Jan Vertonghen,35,546246000,1987/04/24,Premier League,2018/2019,Defender,Tottenham Hotspur,1915,884,1031,Belgium,22,10,12,1,0,1,0,0,0,0,0,7,4,3,21,7,14,5,1,0.05,0,0.05,0,0.09,1915,0.99,91,87,383,0,0.23,225,282,31,10
Javier Hernandez,34,581151600,1988/06/01,Premier League,2018/2019,Forward,West Ham United,1335,694,641,Mexico,25,13,12,7,5,2,1,0,1,0,0,3,1,2,16,8,8,2,0,0.54,0.07,0.47,0.65,0.28,191,1.08,83,53,668,1335,0.13,23,186,-1,3
Jean Michau00ebl Seri,31,679906800,1991/07/19,Premier League,2018/2019,Midfielder,Fulham,2252,1112,1140,Ivory Coast,32,15,17,1,1,0,2,0,2,0,0,4,2,2,53,23,30,6,0,0.12,0.08,0.04,0.08,0,2252,2.12,42,70,375,1126,0.24,236,171,-1,7
João Moutinho,36,526546800,1986/09/08,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,1532,1508,Portugal,38,19,19,1,0,1,8,5,3,0,0,9,7,2,37,17,20,4,0,0.27,0.24,0.03,0,0.06,3040,1.1,82,80,760,380,0.12,258,44,-1,11
Joel Matip,31,681634800,1991/08/08,Premier League,2018/2019,Defender,Liverpool,1532,811,721,Cameroon,22,10,12,1,1,0,0,0,0,0,0,11,6,5,9,5,4,3,0,0.06,0,0.06,0.11,0,1532,0.53,170,70,511,0,0.18,215,286,8,11
Joel Ward,32,625647600,1989/10/29,Premier League,2018/2019,Defender,Crystal Palace,551,191,360,England,7,3,4,1,1,0,0,0,0,0,0,0,0,0,12,6,6,1,0,0.16,0,0.16,0.47,0,551,1.96,46,79,551,0,0.16,114,358,159,11
Johann Berg Guðmunds­son,32,657010800,1990/10/27,Premier League,2018/2019,Midfielder,Burnley,1748,847,901,Iceland,29,15,14,3,0,3,6,5,1,0,0,6,4,2,31,13,18,2,0,0.46,0.31,0.15,0,0.3,583,1.6,56,60,874,291,0.1,122,18,-1,5
Jonny Evans,34,568195200,1988/01/03,Premier League,2018/2019,Defender,Leicester City,1995,1074,921,Northern Ireland,24,12,12,1,1,0,0,0,0,0,0,8,6,2,22,9,13,2,0,0.05,0,0.05,0.08,0,1995,0.99,91,83,998,0,0.09,224,319,32,11
Jordan Ayew,31,684572400,1991/09/11,Premier League,2018/2019,Forward,Crystal Palace,1186,616,570,Ghana,20,8,12,1,0,1,2,0,2,0,0,6,3,3,13,7,6,3,0,0.23,0.15,0.08,0,0.16,1186,0.99,91,59,395,593,0.23,187,96,-1,12
Jordan Henderson,32,645606000,1990/06/17,Premier League,2018/2019,Midfielder,Liverpool,1983,925,1058,England,32,16,16,1,0,1,3,2,1,0,0,19,10,9,11,4,7,3,1,0.18,0.14,0.05,0,0.09,1983,0.5,180,62,661,661,0.14,217,102,-1,14
José Holebas,38,457167600,1984/06/27,Premier League,2018/2019,Defender,Watford,2394,1224,1170,Greece,28,15,13,3,2,1,6,5,1,0,0,5,3,2,38,20,18,13,1,0.34,0.23,0.11,0.15,0.08,798,1.43,63,86,171,399,0.53,153,49,105,7
José Luis Sanmartín Mato,32,638524800,1990/03/27,Premier League,2018/2019,Forward,Newcastle United,586,308,278,Spain,16,9,7,2,2,0,0,0,0,0,0,4,2,2,12,8,4,1,0,0.31,0,0.31,0.58,0,293,1.84,49,37,586,0,0.15,61,265,-1,5
Juan Mata,34,578214000,1988/04/28,Premier League,2018/2019,Midfielder,Manchester United,1294,833,461,Spain,22,13,9,3,3,0,2,2,0,0,0,4,2,2,14,6,8,3,0,0.35,0.14,0.21,0.32,0,431,0.97,92,59,431,647,0.21,92,103,-1,6
Junior Stanislas,32,628070400,1989/11/26,Premier League,2018/2019,Midfielder,AFC Bournemouth,1027,559,468,England,23,12,11,2,1,1,3,3,0,1,0,7,4,3,24,8,16,1,0,0.44,0.26,0.18,0.16,0.19,514,2.1,43,45,1027,342,0.09,104,35,-1,7
Kevin De Bruyne,31,678092400,1991/06/28,Premier League,2018/2019,Midfielder,Manchester City,974,477,497,Belgium,19,9,10,2,2,0,2,0,2,0,0,12,6,6,3,1,2,2,0,0.37,0.18,0.18,0.38,0,487,0.28,325,51,487,487,0.18,109,75,-1,10
Kieran Trippier,32,653727600,1990/09/19,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,1188,1090,England,27,14,13,1,1,0,3,0,3,0,0,10,5,5,20,10,10,2,0,0.16,0.12,0.04,0.08,0,2278,0.79,114,84,1139,759,0.08,230,122,19,12
