full_name,position,nationality,goals_overall
Mohamed Salah,Forward,Egypt,22
Pierre-Emerick Aubameyang,Forward,Gabon,22
Sadio Mané,Forward,Senegal,22
Sergio Aguero,Forward,Argentina,21
Jamie Vardy,Forward,England,18
Harry Kane,Forward,England,17
Raheem Sterling,Forward,England,17
Eden Hazard,Midfielder,Belgium,16
Callum Wilson,Forward,England,14
Gylfi Sigurdsson,Midfielder,Iceland,13
Paul Pogba,Midfielder,France,13
Alexandre Lacazette,Forward,France,13
Glenn Murray,Forward,England,13
Raúl Alonso Jiménez Rodríguez,Forward,Mexico,13
Richarlison de Andrade,Forward,Brazil,13
Luka Milivojević,Midfielder,Serbia,12
Ashley Barnes,Forward,England,12
Ayoze Perez,Forward,Spain,12
Heung-Min Son,Forward,South Korea,12
Joshua King,Forward,Norway,12
Roberto Firmino,Forward,Brazil,12
Romelu Lukaku,Forward,Belgium,12
Aleksandar Mitrović,Forward,Serbia,11
Rondon,Forward,Venezuela,11
Leroy Sané,Midfielder,Germany,10
Lucas Rodrigues Moura da Silva,Midfielder,Brazil,10
Wilfried Zaha,Midfielder,Ivory Coast,10
Anthony Martial,Forward,France,10
Chris Wood,Forward,New Zealand,10
Gerard Deulofeu,Forward,Spain,10
Marcus Rashford,Forward,England,10
Marko Arnautović,Forward,Austria,10
Diogo José Teixeira da Silva,Midfielder,Portugal,9
Felipe Anderson Pereira Gomes,Midfielder,Brazil,9
Troy Deeney,Forward,England,9
Christian Eriksen,Midfielder,Denmark,8
Pedro Rodriguez,Midfielder,Spain,8
Bernardo Silva,Midfielder,Portugal,7
James Maddison,Midfielder,England,7
James Ward-Prowse,Midfielder,England,7
Riyad Mahrez,Midfielder,Algeria,7
Ryan Fraser,Midfielder,Scotland,7
Andre Gray,Forward,England,7
Daniel William John Ings,Forward,England,7
David Brooks,Forward,England,7
Gabriel Jesus,Forward,Brazil,7
Javier Hernandez,Forward,Mexico,7
André Schürrle,Midfielder,Germany,6
Andros Townsend,Midfielder,England,6
David Silva,Midfielder,Spain,6
Henrikh Mkhitaryan,Midfielder,Armenia,6
İlkay Gündoğan,Midfielder,Germany,6
Michail Antonio,Midfielder,England,6
Nathan Redmond,Midfielder,England,6
Ruben Loftus-Cheek,Midfielder,England,6
Xherdan Shaqiri,Midfielder,Switzerland,6
Dominic Calvert-Lewin,Forward,England,6
Roberto Maximiliano Pereyra,Forward,Argentina,6
Shane Duffy,Defender,Republic of Ireland,5
Abdoulaye Doucouré,Midfielder,France,5
Bobby Reid,Midfielder,England,5
Dele Alli,Midfielder,England,5
James Milner,Midfielder,England,5
Mark Noble,Midfielder,England,5
Mesut Özil,Midfielder,Germany,5
Víctor Camarasa,Midfielder,Spain,5
Alvaro Morata,Forward,Spain,5
Gonzalo Higuain,Forward,Argentina,5
Michy Batshuayi,Forward,Belgium,5
Ryan Guno Babel,Forward,Netherlands,5
Shane Long,Forward,Republic of Ireland,5
Theo Walcott,Forward,England,5
Callum Paterson,Defender,Scotland,4
Fabian Schär,Defender,Switzerland,4
Jeffrey Schlupp,Defender,Ghana,4
Lucas Digne,Defender,France,4
Matt Doherty,Defender,Republic of Ireland,4
Nathan Aké,Defender,Netherlands,4
Souleymane Bamba,Defender,Ivory Coast,4
Virgil van Dijk,Defender,Netherlands,4
Willy Boly,Defender,France,4
Aaron Ramsey,Midfielder,Wales,4
Demarai Gray,Midfielder,England,4
Erik Lamela,Midfielder,Argentina,4
Granit Xhaka,Midfielder,Switzerland,4
Jesse Lingard,Midfielder,England,4
Nathaniel Mendez-Laing,Midfielder,England,4
N'Golo Kanté,Midfielder,France,4
Pierre-Emile Højbjerg,Midfielder,Denmark,4
Rúben Diogo Da Silva Neves,Midfielder,Portugal,4
Karlan Ahearne-Grant,Forward,England,4
Aymeric Laporte,Defender,France,3
Ciaran Clark,Defender,Republic of Ireland,3
Craig Cathcart,Defender,Northern Ireland,3
David Luiz,Defender,Brazil,3
Harry Maguire,Defender,England,3
James Tarkowski,Defender,England,3
José Holebas,Defender,Greece,3
Laurent Koscielny,Defender,France,3
Mathias Jattah-Njie Jørgensen,Defender,Denmark,3
Patrick van Aanholt,Defender,Netherlands,3
Wes Morgan,Defender,Jamaica,3
Aaron Mooy,Midfielder,Australia,3
Eric Dier,Midfielder,England,3
Georginio Wijnaldum,Midfielder,Netherlands,3
James McArthur,Midfielder,Scotland,3
Jeff Hendrick,Midfielder,Republic of Ireland,3
Johann Berg Guðmunds­son,Midfielder,Iceland,3
Juan Mata,Midfielder,Spain,3
Pascal Groß,Midfielder,Germany,3
Ross Barkley,Midfielder,England,3
Stuart Armstrong,Midfielder,Scotland,3
Youri Tielemans,Midfielder,Belgium,3
Aboubakar Kamara,Forward,France,3
Alex Iwobi,Forward,Nigeria,3
Cenk Tosun,Forward,Turkey,3
David Junior Hoilett,Forward,Canada,3
Divock Origi,Forward,Belgium,3
Dwight McNeil,Forward,England,3
Florin Andone,Forward,Romania,3
Ivan Ricardo Neves Abreu Cavaleiro,Forward,Portugal,3
Josh Murphy,Forward,England,3
Lucas Perez,Forward,Spain,3
Sam Vokes,Forward,Wales,3
Willian,Forward,Brazil,3
Calum Chambers,Defender,England,2
Kurt Zouma,Defender,France,2
Lewis Dunk,Defender,England,2
Marcos Alonso,Defender,Spain,2
Ricardo Domingos Barbosa Pereira,Defender,Portugal,2
Ryan Sessegnon,Defender,England,2
Séamus Coleman,Defender,Republic of Ireland,2
Shkodran Mustafi,Defender,Germany,2
Yann Valery,Defender,France,2
Alex Pritchard,Midfielder,England,2
Ander Herrera,Midfielder,Spain,2
Anthony Knockaert,Midfielder,France,2
Ashley Westwood,Midfielder,England,2
Ashley Young,Midfielder,England,2
Dan Gosling,Midfielder,England,2
Declan Rice,Midfielder,Republic of Ireland,2
Jefferson Lerma,Midfielder,Colombia,2
Jorginho,Midfielder,Italy,2
Junior Stanislas,Midfielder,England,2
Kevin De Bruyne,Midfielder,Belgium,2
Leander Dendoncker,Midfielder,Belgium,2
Lucas Torreira,Midfielder,Uruguay,2
Marc Albrighton,Midfielder,England,2
Matt Ritchie,Midfielder,Scotland,2
Naby Deco Keïta,Midfielder,Guinea,2
Onyinye Wilfred Ndidi,Midfielder,Nigeria,2
Philip Billing,Midfielder,Denmark,2
Robert Snodgrass,Midfielder,Scotland,2
Romain Saïss,Midfielder,Morocco,2
Scott McTominay,Midfielder,England,2
Will Hughes,Midfielder,England,2
Andriy Yarmolenko,Forward,Ukraine,2
Charlie Austin,Forward,England,2
Daniel Sturridge,Forward,England,2
José Luis Sanmartín Mato,Forward,Spain,2
Jürgen Locadia,Forward,Netherlands,2
Olivier Giroud,Forward,France,2
Steve Mounié,Forward,Benin,2
Adam Smith,Defender,England,1
Angelo Ogbonna,Defender,Italy,1
Antonio Rüdiger,Defender,Germany,1
Ben Gibson,Defender,England,1
Cedric Soares,Defender,Portugal,1
Cesar Azpilicueta,Defender,Spain,1
Charlie Daniels,Defender,England,1
Chris Smalling,Defender,England,1
Christopher Schindler,Defender,Germany,1
Danilo,Defender,Brazil,1
Davinson Sánchez Mina,Defender,Colombia,1
DeAndre Yedlin,Defender,USA,1
Dejan Lovren,Defender,Croatia,1
Fabián Cornelio Balbuena González,Defender,Paraguay,1
Issa Diop,Defender,France,1
Jack Stephens,Defender,England,1
James Tomkins,Defender,England,1
Jan Vertonghen,Defender,Belgium,1
Joel Matip,Defender,Cameroon,1
Joel Ward,Defender,England,1
Jon Gorenc Stankovič,Defender,Slovenia,1
Jonny Evans,Defender,Northern Ireland,1
Jonny,Defender,Spain,1
Juan Marcos Foyth,Defender,Argentina,1
Kieran Trippier,Defender,England,1
Kyle Walker,Defender,England,1
Leon Balogun,Defender,Nigeria,1
Luke Shaw,Defender,England,1
Matt Targett,Defender,England,1
Michael Keane,Defender,England,1
Nacho Monreal,Defender,Spain,1
Phil Jagielka,Defender,England,1
