full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,natio nality,appearances_overall,appearances_home,appearances_away,goals_overal l,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_g oals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_aw ay,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red _cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per _90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,con ceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card _overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attac kers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_clu b_top_scorer
Mohamed Salah,30,708591600,1992/06/15,Premier League,2018/2019,Forward,Liverpool,3262,1692,1570,Egypt,38,19,19,22,13,9,8,5,3,3,0,21,12,9,18,8,10,1,0,0.83,0.22,0.61,0.69,0.52,148,0.5,181,86,3262,408,0.03,7,57,-1,2
Pierre-Emerick Aubameyang,33,614156400,1989/06/18,Premier League,2018/2019,Forward,Arsenal,2731,1418,1313,Gabon,36,19,17,22,13,9,5,4,1,4,1,8,7,1,40,14,26,0,0,0.89,0.16,0.73,0.83,0.62,124,1.32,68,76,0,546,0,3,88,-1,1
Sadio Mané,30,702889200,1992/04/10,Premier League,2018/2019,Forward,Liverpool,3086,1643,1443,Senegal,36,19,17,22,18,4,1,0,1,0,0,20,12,8,18,8,10,2,0,0.67,0.03,0.64,0.99,0.25,140,0.52,171,86,1543,3086,0.06,4,249,-1,1
Sergio Aguero,34,581238000,1988/06/02,Premier League,2018/2019,Forward,Manchester City,2480,1125,1355,Argentina,33,16,17,21,15,6,8,5,3,2,0,19,8,11,15,8,7,3,0,1.05,0.29,0.76,1.2,0.4,118,0.54,165,75,827,310,0.11,1,28,-1,1
Jamie Vardy,35,537350400,1987/01/11,Premier League,2018/2019,Forward,Leicester City,2735,1418,1317,England,34,17,17,18,8,10,4,3,1,4,1,10,6,4,33,13,20,4,1,0.72,0.13,0.59,0.51,0.68,152,1.09,83,80,547,684,0.16,9,118,-1,1
Harry Kane,29,743842800,1993/07/28,Premier League,2018/2019,Forward,Tottenham Hotspur,2427,1066,1361,England,28,12,16,17,6,11,4,2,2,4,0,10,4,6,28,10,18,5,0,0.78,0.15,0.63,0.51,0.73,143,1.04,87,87,485,607,0.19,5,94,-1,1
Raheem Sterling,27,786873600,1994/12/08,Premier League,2018/2019,Forward,Manchester City,2777,1256,1521,England,34,16,18,17,12,5,10,6,4,0,0,18,7,11,19,9,10,3,0,0.88,0.32,0.55,0.86,0.3,163,0.62,146,82,926,278,0.1,12,14,-1,2
Eden Hazard,31,663235200,1991/01/07,Premier League,2018/2019,Midfielder,Chelsea,2926,1527,1399,Belgium,37,19,18,16,11,5,15,10,5,4,0,15,10,5,34,9,25,2,0,0.95,0.46,0.49,0.65,0.32,183,1.05,86,79,1463,195,0.06,18,5,-1,1
Callum Wilson,30,699177600,1992/02/27,Premier League,2018/2019,Forward,AFC Bournemouth,2535,1324,1211,England,30,15,15,14,5,9,9,4,5,1,1,9,5,4,44,17,27,3,0,0.82,0.32,0.5,0.34,0.67,181,1.56,58,85,845,282,0.11,17,16,-1,1
Alexandre Lacazette,31,675414000,1991/05/28,Premier League,2018/2019,Forward,Arsenal,2503,1403,1100,France,35,19,16,13,9,4,8,4,4,0,0,7,7,0,28,10,18,2,0,0.76,0.29,0.47,0.58,0.33,193,1.01,89,72,1252,313,0.07,21,25,-1,2
Glenn Murray,39,433321200,1983/09/25,Premier League,2018/2019,Forward,Brighton & Hove Albion,2513,1383,1130,England,38,19,19,13,8,5,1,1,0,4,0,7,5,2,44,22,22,5,0,0.5,0.04,0.47,0.52,0.4,193,1.58,57,66,503,2513,0.18,24,227,-1,1
Gylfi Sigurdsson,33,621241200,1989/09/08,Premier League,2018/2019,Midfielder,Everton,3134,1602,1532,Iceland,38,19,19,13,7,6,6,2,4,2,3,14,9,5,40,19,21,3,0,0.55,0.17,0.37,0.39,0.35,241,1.15,78,82,1045,522,0.09,43,86,-1,2
Paul Pogba,29,732182400,1993/03/15,Premier League,2018/2019,Midfielder,Manchester United,3011,1517,1494,France,35,18,17,13,10,3,9,4,5,7,3,7,2,5,41,20,21,6,0,0.66,0.27,0.39,0.59,0.18,232,1.23,73,86,502,335,0.18,37,30,-1,1
Raúl Alonso Jiménez Rodríguez,31,673426800,1991/05/05,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,1648,1476,Mexico,38,19,19,13,8,5,7,4,3,2,0,9,7,2,39,20,19,4,0,0.58,0.2,0.37,0.44,0.3,240,1.12,80,82,781,446,0.12,42,63,-1,1
Richarlison de Andrade,25,863247600,1997/05/10,Premier League,2018/2019,Forward,Everton,2679,1283,1396,Brazil,35,17,18,13,7,6,1,1,0,0,0,14,9,5,32,15,17,6,1,0.47,0.03,0.44,0.49,0.39,206,1.08,84,77,383,2679,0.24,28,250,-1,1
Ashley Barnes,32,625737600,1989/10/30,Premier League,2018/2019,Forward,Burnley,2400,1307,1093,England,37,19,18,12,6,6,2,1,1,2,0,8,5,3,34,16,18,8,0,0.53,0.08,0.45,0.41,0.49,200,1.28,71,65,300,1200,0.3,27,172,-1,1
Ayoze Perez,29,743929200,1993/07/29,Premier League,2018/2019,Forward,Newcastle United,2929,1526,1403,Spain,37,19,18,12,9,3,2,1,1,0,0,11,5,6,34,21,13,2,0,0.43,0.06,0.37,0.53,0.19,244,1.04,86,79,1465,1465,0.06,44,197,-1,1
Heung-Min Son,30,710578800,1992/07/08,Premier League,2018/2019,Forward,Tottenham Hotspur,2048,1161,887,South Korea,31,16,15,12,8,4,6,2,4,0,0,11,7,4,20,8,12,3,1,0.79,0.26,0.53,0.62,0.41,171,0.88,102,66,512,341,0.18,14,34,-1,2
Joshua King,30,695462400,1992/01/15,Premier League,2018/2019,Forward,AFC Bournemouth,2974,1563,1411,Norway,35,18,17,12,9,3,3,3,0,5,1,9,6,3,54,20,34,3,0,0.45,0.09,0.36,0.52,0.19,248,1.63,55,85,991,991,0.09,49,157,-1,2
Luka Milivojević,31,671011200,1991/04/07,Premier League,2018/2019,Midfielder,Crystal Palace,3420,1710,1710,Serbia,38,19,19,12,7,5,2,0,2,10,1,12,7,5,47,20,27,10,0,0.37,0.05,0.32,0.37,0.26,285,1.24,73,90,342,1710,0.26,59,210,-1,1
Roberto Firmino,31,686386800,1991/10/02,Premier League,2018/2019,Forward,Liverpool,2620,1347,1273,Brazil,34,16,18,12,7,5,6,3,3,1,0,18,9,9,13,7,6,0,0,0.62,0.21,0.41,0.47,0.35,218,0.45,202,77,0,437,0,32,62,-1,3
Romelu Lukaku,29,737276400,1993/05/13,Premier League,2018/2019,Forward,Manchester United,2130,982,1148,Belgium,32,16,16,12,4,8,0,0,0,0,0,7,2,5,36,14,22,4,0,0.51,0,0.51,0.37,0.63,178,1.52,59,67,533,0,0.17,16,305,-1,2
Aleksandar Mitrović,28,779698800,1994/09/16,Premier League,2018/2019,Forward,Fulham,3282,1616,1666,Serbia,37,18,19,11,8,3,3,2,1,1,0,5,3,2,74,31,43,7,0,0.38,0.08,0.3,0.45,0.16,298,2.03,44,89,469,1094,0.19,62,176,-1,1
Rondon,33,621932400,1989/09/16,Premier League,2018/2019,Forward,Newcastle United,2609,1343,1266,Venezuela,32,16,16,11,6,5,7,5,2,0,0,10,5,5,29,14,15,1,0,0.62,0.24,0.38,0.4,0.36,237,1,90,82,2609,373,0.03,40,43,-1,2
Anthony Martial,26,818150400,1995/12/05,Premier League,2018/2019,Forward,Manchester United,1623,743,880,France,27,11,16,10,4,6,2,1,1,1,0,5,1,4,25,8,17,2,0,0.67,0.11,0.55,0.48,0.61,162,1.39,65,60,812,812,0.11,13,141,-1,4
Chris Wood,30,692092800,1991/12/07,Premier League,2018/2019,Forward,Burnley,2582,1330,1252,New Zealand,38,19,19,10,4,6,2,0,2,0,0,8,5,3,43,21,22,2,0,0.42,0.07,0.35,0.27,0.43,258,1.5,60,68,1291,1291,0.07,50,188,-1,2
Gerard Deulofeu,28,763545600,1994/03/13,Premier League,2018/2019,Forward,Watford,2082,949,1133,Spain,30,14,16,10,3,7,5,3,2,0,0,6,3,3,28,11,17,3,0,0.65,0.22,0.43,0.28,0.56,208,1.21,74,69,694,416,0.13,29,59,-1,1
Leroy Sané,26,821347200,1996/01/11,Premier League,2018/2019,Midfielder,Manchester City,1867,1024,843,Germany,31,16,15,10,5,5,10,6,4,0,0,16,8,8,14,8,6,1,0,0.96,0.48,0.48,0.44,0.53,187,0.67,133,60,1867,187,0.05,19,4,-1,3
Lucas Rodrigues Moura da Silva,30,713689200,1992/08/13,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,1040,1087,Brazil,32,15,17,10,6,4,0,0,0,0,0,12,7,5,16,9,7,3,0,0.42,0,0.42,0.52,0.33,213,0.68,133,66,709,0,0.13,30,279,-1,3
Marcus Rashford,25,878284800,1997/10/31,Premier League,2018/2019,Forward,Manchester United,2362,1293,1069,England,33,17,16,10,4,6,6,3,3,0,0,6,2,4,34,17,17,4,1,0.61,0.23,0.38,0.28,0.51,236,1.3,69,72,472,394,0.19,41,52,-1,3
Marko Arnautović,33,608972400,1989/04/19,Premier League,2018/2019,Forward,West Ham United,2000,1083,917,Austria,28,15,13,10,7,3,4,1,3,1,0,5,3,2,31,17,14,3,0,0.63,0.18,0.45,0.58,0.29,200,1.4,65,71,667,500,0.14,26,76,-1,1
Wilfried Zaha,29,721382400,1992/11/10,Premier League,2018/2019,Midfielder,Crystal Palace,3041,1347,1694,Ivory Coast,34,15,19,10,1,9,5,3,2,0,0,10,5,5,45,18,27,10,1,0.44,0.15,0.3,0.07,0.48,304,1.33,68,89,304,608,0.3,63,92,-1,2
